Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,880.0,893.0,878.0,884.0,707.4388427734375,5010720
2022-06-16,906.0,908.0,869.0,873.0,698.6358642578125,4915525
2022-06-17,847.0,856.0,831.0,831.0,665.0245361328125,12964828
2022-06-20,838.0,852.0,832.0,840.0,672.2269897460938,6893103
2022-06-21,861.0,868.0,847.0,868.0,694.634521484375,7304422
2022-06-22,848.0,852.0,805.0,807.0,645.8180541992188,14514935
2022-06-23,731.0,740.0,679.0,689.0,606.2251586914062,30393472
2022-06-24,682.0,696.0,669.0,670.0,589.5078125,14518315
2022-06-27,685.0,695.0,678.0,678.0,596.5466918945312,10153354
2022-06-28,670.0,678.0,646.0,651.0,572.7904052734375,16181238
2022-06-29,644.0,668.0,640.0,661.0,581.5890502929688,13465426
2022-06-30,655.0,662.0,647.0,651.0,572.7904052734375,9682997
2022-07-01,652.0,655.0,610.0,612.0,538.4757690429688,10051624
2022-07-04,609.0,623.0,606.0,611.0,537.5958862304688,8976016
2022-07-05,624.0,630.0,597.0,615.0,541.1154174804688,8934695
2022-07-06,617.0,619.0,603.0,605.0,532.3167724609375,7663311
2022-07-07,612.0,638.0,606.0,636.0,559.5924682617188,8633974
2022-07-08,650.0,657.0,642.0,651.0,572.7904052734375,9061449
2022-07-11,655.0,656.0,635.0,637.0,560.4723510742188,5102748
2022-07-12,628.0,629.0,608.0,614.0,540.2354736328125,7334318
2022-07-13,650.0,652.0,631.0,634.0,557.832763671875,6616953
2022-07-14,629.0,652.0,625.0,646.0,568.39111328125,5473704
2022-07-15,646.0,652.0,638.0,648.0,570.1508178710938,7738288
2022-07-18,652.0,673.0,650.0,661.0,581.5890502929688,7836261
2022-07-19,658.0,667.0,655.0,662.0,582.4689331054688,4680873
2022-07-20,680.0,687.0,667.0,671.0,590.3876953125,8066906
2022-07-21,681.0,716.0,678.0,716.0,629.9815063476562,11439799
2022-07-22,718.0,721.0,701.0,705.0,620.3030395507812,8280121
2022-07-25,695.0,698.0,687.0,688.0,605.3453369140625,5931222
2022-07-26,679.0,696.0,675.0,681.0,599.186279296875,5330274
2022-07-27,661.0,677.0,660.0,677.0,595.6668701171875,6598262
2022-07-28,693.0,693.0,678.0,682.0,600.066162109375,4665061
2022-07-29,690.0,702.0,676.0,683.0,600.946044921875,6916095
2022-08-01,684.0,696.0,674.0,694.0,610.62451171875,6377879
2022-08-02,679.0,690.0,672.0,683.0,600.946044921875,6108080
2022-08-03,685.0,689.0,678.0,686.0,603.5855712890625,3556948
2022-08-04,689.0,692.0,680.0,684.0,601.8258666992188,3455237
2022-08-05,700.0,717.0,698.0,717.0,630.861328125,6982355
2022-08-08,713.0,720.0,706.0,709.0,623.8224487304688,5059785
2022-08-09,702.0,706.0,690.0,694.0,610.62451171875,5278814
2022-08-10,677.0,680.0,668.0,668.0,587.7481079101562,6321671
2022-08-11,670.0,676.0,663.0,670.0,589.5078125,9025318
2022-08-12,674.0,684.0,670.0,684.0,601.8258666992188,4446417
2022-08-15,688.0,709.0,686.0,706.0,621.182861328125,4793921
2022-08-16,709.0,717.0,705.0,706.0,621.182861328125,5340783
2022-08-17,707.0,711.0,699.0,703.0,618.5432739257812,4656601
